iter	RMSE
0	14.2306366
1	13.32433645
2	12.50761971
3	11.75045396
4	11.04675796
5	10.50396698
6	9.992272667
7	9.528541623
8	9.082131541
9	8.6705378
10	8.318158738
11	8.012866045
12	7.769687029
13	7.532579535
14	7.32895962
15	7.132919183
16	6.919815278
17	6.761798563
18	6.624356286
19	6.518457973
20	6.388387197
21	6.295279879
22	6.193351724
23	6.096379139
24	6.014811701
25	5.935064163
26	5.852767414
27	5.773515121
28	5.71691736
29	5.653111591
30	5.62171306
31	5.582175977
32	5.542382563
33	5.509159452
34	5.471662925
35	5.448368797
36	5.424125703
37	5.399551697
38	5.375667419
39	5.357862379
40	5.335588333
41	5.319296986
42	5.301530439
43	5.277481161
44	5.25338306
45	5.238743469
46	5.219781624
47	5.200017619
48	5.185840533
49	5.174286904
50	5.15380885
51	5.140219147
52	5.131248669
53	5.120169534
54	5.110629716
55	5.093818088
56	5.079011007
57	5.072249793
58	5.062914964
59	5.048870469
60	5.032979453
61	5.022778319
62	5.010163251
63	5.000736086
64	4.990759213
65	4.981460815
66	4.963888327
67	4.948228458
68	4.937534021
69	4.932737082
70	4.91828888
71	4.90229074
72	4.894147969
73	4.88908318
74	4.880376706
75	4.872456671
76	4.86427008
77	4.854971143
78	4.846151237
79	4.836030686
80	4.817229054
81	4.801705143
82	4.788452294
83	4.783095611
84	4.773494271
85	4.768278469
86	4.755497356
87	4.751764186
88	4.740498726
89	4.731753499
90	4.725256857
91	4.717911077
92	4.70601438
93	4.698971664
94	4.693005894
95	4.684686161
96	4.672371055
97	4.667697577
98	4.65809685
99	4.650585117
