iter	RMSE
0	14.87200359
1	14.48197373
2	14.09773887
3	13.73371128
4	13.39393134
5	13.06430982
6	12.77156765
7	12.49787429
8	12.20142373
9	11.90318688
10	11.62390576
11	11.38271692
12	11.13392711
13	10.88593733
14	10.66371276
15	10.42835724
16	10.21444774
17	10.00894177
18	9.80082338
19	9.602717315
20	9.431898291
21	9.263267972
22	9.108964296
23	8.946201356
24	8.790731666
25	8.653985074
26	8.510023488
27	8.381363911
28	8.245589038
29	8.124636889
30	8.023542839
31	7.893861376
32	7.785355063
33	7.680351234
34	7.574535384
35	7.488689788
36	7.390569031
37	7.312059792
38	7.226190982
39	7.144862098
40	7.060653321
41	6.988510181
42	6.918270128
43	6.851423812
44	6.782542023
45	6.72310816
46	6.659418647
47	6.605149726
48	6.544517906
49	6.484243335
50	6.433188547
51	6.373123577
52	6.327076176
53	6.280855725
54	6.233873546
55	6.194432916
56	6.151548281
57	6.112411582
58	6.077157704
59	6.042957422
60	6.010237977
61	5.97811066
62	5.943649596
63	5.910534666
64	5.881430776
65	5.85592054
66	5.828198344
67	5.798967731
68	5.771512834
69	5.746811989
70	5.724048234
71	5.703121754
72	5.682463588
73	5.659334229
74	5.640448547
75	5.61793413
76	5.600411581
77	5.583514417
78	5.560663945
79	5.541804289
80	5.531069608
81	5.512917848
82	5.496937574
83	5.483925003
84	5.476857519
85	5.462358118
86	5.447718097
87	5.432071895
88	5.419391159
89	5.408557155
90	5.39546667
91	5.386867204
92	5.378209511
93	5.366295589
94	5.356196139
95	5.342666579
96	5.332769327
97	5.322990185
98	5.312659179
99	5.30073298
100	5.294627303
101	5.289702719
102	5.281984187
103	5.274384382
104	5.269907413
105	5.261333256
106	5.255435506
107	5.248017088
108	5.239845226
109	5.231303917
110	5.224869429
111	5.221645319
112	5.215998686
113	5.208596263
114	5.203540651
115	5.199975277
116	5.193719742
117	5.184908024
118	5.17924735
119	5.170507138
120	5.160343088
121	5.153915561
122	5.14376278
123	5.133637253
124	5.13003383
125	5.125550269
126	5.119399298
127	5.113608288
128	5.109402546
129	5.105054352
